image-ID,x,y,z,chisq,vis-probe
98,14318.2,37384.7,700.463,51.6143,1
98,28028.7,39086.3,855.554,576.978,1
98,30181.8,29753.9,1036.09,210.265,1
99,14677.2,23982.4,276.842,230.264,1
99,28030,39104.1,869.421,381.386,1
99,30173.3,29730.2,1018.89,260.561,1
100,14631.5,24020.4,288.929,184.638,1
100,19228.7,24104.7,490.235,196.877,1
100,30180.2,29753.4,1044.07,291.688,1
101,14662.2,24024,306.019,240.819,1
101,29664.3,24767.2,898.107,377.706,1
101,30169.4,29738.5,1052.36,142.885,1
102,14663.3,24014.1,255.923,254.329,1
102,19268,24146.5,454.998,220.302,1
102,29662.6,28787.7,678.223,314.974,1
102,29684.4,24760.8,884.724,406.566,1
103,14682.3,24039.9,283.412,140.101,1
103,29398.3,29105.9,498.264,291.683,1
103,29673,24764.1,901.31,496.753,1
104,14675.7,23947.5,190.782,197.109,1
104,19262.6,24139.8,471.772,129.412,1
104,29465.6,29108,500.25,106.931,1
104,28899.4,28626.9,550.286,106.934,1
104,10845.8,33254.9,588.052,330.532,1
104,29691.7,24762.4,884.278,267.546,1
105,14718.8,23968.4,235.181,181.585,1
105,19247.8,24130.7,502.06,201.855,1
105,10814,33275.5,600.499,253.257,1
105,29641.8,24762.8,911.392,377.102,1
106,14656.5,23975.3,281.725,150.632,1
106,10853.6,33257,587.505,317.155,1
106,29664.2,24773.9,906.185,407.697,1
106,30180.9,29746.7,1015.81,457.875,1
107,14717.6,24006.7,335.811,211.845,1
107,10835,33250.8,587.806,329.035,1
107,30175.9,29756.6,1017.57,649.762,1
108,10858.8,33277.4,561.248,406.9,1
108,30178.3,29742,1016.83,651.607,1
109,10861.8,33248.7,582.685,291.656,1
109,30176.6,29764.3,1019.49,883.122,1
110,10840.4,33244.7,558.967,376.473,1
110,29434.3,31908.5,715.934,404.621,1
110,30174.2,29751.2,1027.99,750.673,1
111,10884.3,33252.3,592.065,200.948,1
111,29416.8,31899.9,727.135,391.136,1
111,30176.6,29754.6,1031.04,752.394,1
112,23612.7,28786.9,715.051,189.198,1
112,29427.6,31909.8,731.001,381.289,1
112,30171.5,29762.6,1014.04,792.444,1
113,23599.5,28771.3,716.608,331.931,1
113,29416.6,31904,721.242,373.94,1
113,30165.8,29733.2,1038.2,488.315,1
114,29438.1,31918.2,718.316,285.88,1
114,30177.1,29726.9,1027.73,344.908,1
115,30166.8,29751,1011.05,593.217,1
116,30171.8,29753.9,1016.94,540.459,1
116,20726,31502.3,1088.08,323.156,1
117,30174.3,29758.8,1026.28,560.358,1
118,30182.4,29766.6,1036.55,556.744,1
119,30171.2,29732.6,1064.05,118.929,1
120,16390.3,33901.7,446.295,300.793,1
121,16407.8,33889.3,453.016,298.233,1
122,21093.1,30568.2,401.691,410.609,1
123,20939.3,32179.3,280.267,112.301,1
123,21084.1,30583.6,418.175,566.493,1
124,21001.3,32204.2,168.639,189.952,1
124,21089.6,30591.4,439.096,699.087,1
124,14788.9,30985,807.953,387.214,1
125,21278.7,27574.8,195.657,211.877,1
125,20899.4,32226.4,235.91,188.762,1
125,21084.4,30560.6,422.439,441.08,1
125,14794.7,30966.3,778.568,530.925,1
125,17450.1,33801,938.046,256.204,1
126,20967.4,32204.2,176.699,327.322,1
126,21290.3,27569,231.97,252.637,1
126,21088.7,30579.4,416.045,467.572,1
126,14781,30956.2,803.292,586.549,1
126,17467.6,33800.3,947.282,755.063,1
126,27351.6,39212.7,1042.86,239.872,1
127,21296.6,27560.1,162.673,191.625,1
127,21081.2,30550.4,422.192,346.738,1
127,14800.4,30968.7,777.635,550.923,1
127,17460.8,33812,939.771,644.824,1
128,21263.2,27581.2,219.089,275.771,1
128,20919.2,29975.2,281.547,720.337,1
128,14796.3,30961.8,773.984,532.127,1
129,21312,27611,164.374,173.715,1
129,20955.4,29953.2,298.8,593.145,1
129,11472.1,38807,547.353,564.22,1
129,14795.9,30968,765.431,690.587,1
130,21298.5,27580.9,240.36,234.987,1
130,20957.4,29971.4,285.681,605.121,1
130,11454.8,38801.6,524.758,357.107,1
130,14798.8,30953.1,795.337,560.841,1
131,21269.8,27586.4,181.887,269.249,1
