% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
5.000000000000001E-5     1210                     3.9758610275236755E-13
5.000000000000001E-5     1220                     3.979625091040174E-13
5.000000000000001E-5     1230                     3.9832173476983723E-13
5.000000000000001E-5     1240                     3.9864962170374434E-13
5.000000000000001E-5     1250                     3.9897193332385183E-13
5.000000000000001E-5     1260                     3.9928947429731775E-13
5.000000000000001E-5     1270                     3.9959522764019815E-13
5.000000000000001E-5     1280                     3.998932745743878E-13
5.000000000000001E-5     1290                     4.0016685864384585E-13
5.000000000000001E-5     1300                     4.0042498347352275E-13
5.000000000000001E-5     1310                     4.006815350514347E-13
5.000000000000001E-5     1320                     4.009298792978132E-13
5.000000000000001E-5     1330                     4.0117153654355967E-13
5.000000000000001E-5     1340                     4.0140047889711803E-13
5.000000000000001E-5     1350                     4.016083257664258E-13
5.000000000000001E-5     1360                     4.0181294446422246E-13
5.000000000000001E-5     1370                     4.0201408972900563E-13
5.000000000000001E-5     1380                     4.0220732692000185E-13
5.000000000000001E-5     1390                     4.023951997111899E-13
5.000000000000001E-5     1400                     4.025660978939576E-13
5.000000000000001E-5     1410                     4.0272767852902554E-13
5.000000000000001E-5     1420                     4.028881365319614E-13
5.000000000000001E-5     1430                     4.030429889455798E-13
5.000000000000001E-5     1440                     4.0319356674721556E-13
5.000000000000001E-5     1450                     4.0333524633008327E-13
5.000000000000001E-5     1460                     4.034635146613375E-13
5.000000000000001E-5     1470                     4.035899904537041E-13
5.000000000000001E-5     1480                     4.0371403926046184E-13
5.000000000000001E-5     1490                     4.0383302371346716E-13
5.000000000000001E-5     1500                     4.0394839123971393E-13
5.000000000000001E-5     1510                     4.0405272876199156E-13
5.000000000000001E-5     1520                     4.0415327670001885E-13
5.000000000000001E-5     1530                     4.0425184418695404E-13
5.000000000000001E-5     1540                     4.043479784808314E-13
5.000000000000001E-5     1550                     4.044400129459278E-13
5.000000000000001E-5     1560                     4.0452891491116027E-13
5.000000000000001E-5     1570                     4.046115169588719E-13
5.000000000000001E-5     1580                     4.046907018587281E-13
5.000000000000001E-5     1590                     4.0476440115114006E-13
5.000000000000001E-5     1600                     4.048316280817883E-13
5.000000000000001E-5     1610                     4.048981097811561E-13
5.000000000000001E-5     1620                     4.0496281012856576E-13
5.000000000000001E-5     1630                     4.0502575688264506E-13
5.000000000000001E-5     1640                     4.050846793275729E-13
