% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
5.000000000000001E-5     2220                     7.141778233847297E-13
5.000000000000001E-5     2230                     7.141836788071884E-13
5.000000000000001E-5     2240                     7.141892220708315E-13
5.000000000000001E-5     2250                     7.141944482631592E-13
5.000000000000001E-5     2260                     7.141994371143447E-13
5.000000000000001E-5     2270                     7.142039458086892E-13
5.000000000000001E-5     2280                     7.142083002606594E-13
5.000000000000001E-5     2290                     7.14212420153959E-13
5.000000000000001E-5     2300                     7.142160405015013E-13
5.000000000000001E-5     2310                     7.142194997608648E-13
5.000000000000001E-5     2320                     7.142227883938222E-13
5.000000000000001E-5     2330                     7.142258905240515E-13
5.000000000000001E-5     2340                     7.142288262630002E-13
5.000000000000001E-5     2350                     7.142316829106107E-13
5.000000000000001E-5     2360                     7.142344869889644E-13
5.000000000000001E-5     2370                     7.142371075922517E-13
5.000000000000001E-5     2380                     7.142395294554975E-13
5.000000000000001E-5     2390                     7.142418612334632E-13
5.000000000000001E-5     2400                     7.142440175659105E-13
5.000000000000001E-5     2410                     7.142460946642646E-13
5.000000000000001E-5     2420                     7.14247990299497E-13
5.000000000000001E-5     2430                     7.142497725562053E-13
5.000000000000001E-5     2440                     7.142514795743794E-13
5.000000000000001E-5     2450                     7.142530174700044E-13
5.000000000000001E-5     2460                     7.142544460627775E-13
5.000000000000001E-5     2470                     7.142558227340501E-13
5.000000000000001E-5     2480                     7.142571242109161E-13
5.000000000000001E-5     2490                     7.142583742469975E-13
5.000000000000001E-5     2500                     7.142596092930754E-13
5.000000000000001E-5     2510                     7.142607964580384E-13
5.000000000000001E-5     2520                     7.142618890641381E-13
5.000000000000001E-5     2530                     7.142629471397931E-13
5.000000000000001E-5     2540                     7.142639463159927E-13
5.000000000000001E-5     2550                     7.142649096287106E-13
5.000000000000001E-5     2560                     7.14265830596276E-13
5.000000000000001E-5     2570                     7.142666935413542E-13
5.000000000000001E-5     2580                     7.14267538562013E-13
5.000000000000001E-5     2590                     7.142683378988665E-13
5.000000000000001E-5     2600                     7.142690749151126E-13
5.000000000000001E-5     2610                     7.142697885327757E-13
5.000000000000001E-5     2620                     7.142704689088562E-13
5.000000000000001E-5     2630                     7.14271116918959E-13
5.000000000000001E-5     2640                     7.142717534393697E-13
5.000000000000001E-5     2650                     7.142723754168973E-13
5.000000000000001E-5     2660                     7.142729522855329E-13
5.000000000000001E-5     2670                     7.142734963545197E-13
